# a0,a1,a2,a3,a4,a5,a6,a7,a8
-5.382111072540283203e-01,-1.952855587005615234e-01,-5.881975889205932617e-01,-1.236719265580177307e-02,2.092980146408081055e-01,-5.166417360305786133e-01,-4.043431878089904785e-01,1.000000000000000000e+00,1.795638501644134521e-01
-6.674027442932128906e-01,-3.150521516799926758e-01,-7.327310442924499512e-01,-1.340343058109283447e-01,2.642000317573547363e-01,-6.452851295471191406e-01,-4.586504995822906494e-01,1.000000000000000000e+00,3.654542565345764160e-02
-5.730621814727783203e-01,-3.804957270622253418e-01,-8.472815752029418945e-01,-7.501316070556640625e-02,3.028828799724578857e-01,-5.320435166358947754e-01,-3.881291747093200684e-01,1.000000000000000000e+00,-2.884420007467269897e-02
-6.698303222656250000e-01,-3.053112924098968506e-01,-7.552311420440673828e-01,7.213838398456573486e-02,2.766681909561157227e-01,-5.704380869865417480e-01,-3.052052855491638184e-01,9.522410631179809570e-01,1.003829911351203918e-01
-5.623065233230590820e-01,-3.266130685806274414e-01,-6.799698472023010254e-01,1.485012471675872803e-01,1.576053500175476074e-01,-4.496722221374511719e-01,-3.036295771598815918e-01,1.000000000000000000e+00,4.639787226915359497e-02
-4.436495602130889893e-01,-3.598525524139404297e-01,-8.267185688018798828e-01,2.701158523559570312e-01,3.499135375022888184e-02,-5.038781166076660156e-01,-1.686109900474548340e-01,1.000000000000000000e+00,6.842923909425735474e-02
-4.040983915328979492e-01,-3.753188848495483398e-01,-8.887553215026855469e-01,2.187152206897735596e-01,8.674688637256622314e-02,-4.281657636165618896e-01,-8.113727718591690063e-02,1.000000000000000000e+00,-5.420892685651779175e-02
-4.057722985744476318e-01,-5.080512762069702148e-01,-8.738966584205627441e-01,2.011743783950805664e-01,2.030581384897232056e-01,-4.728912711143493652e-01,-1.960171759128570557e-01,8.928974866867065430e-01,2.424426376819610596e-02
-3.703068792819976807e-01,-6.277144551277160645e-01,-9.986646175384521484e-01,2.614651322364807129e-01,7.488703727722167969e-02,-3.763332366943359375e-01,-1.341445147991180420e-01,7.673021554946899414e-01,-1.003044247627258301e-01
-2.243150025606155396e-01,-6.654332280158996582e-01,-1.000000000000000000e+00,3.553050160408020020e-01,2.090616077184677124e-01,-2.305329144001007080e-01,-5.813106149435043335e-02,7.301800251007080078e-01,-2.252542078495025635e-01
-1.411709189414978027e-01,-6.479119658470153809e-01,-1.000000000000000000e+00,4.772113263607025146e-01,9.242085367441177368e-02,-2.327453792095184326e-01,-2.047249674797058105e-01,7.207782268524169922e-01,-3.583632111549377441e-01
-2.555255293846130371e-01,-7.626540660858154297e-01,-9.552369117736816406e-01,5.510247945785522461e-01,1.174314841628074646e-01,-9.409362077713012695e-02,-2.422637939453125000e-01,6.564918756484985352e-01,-2.477834820747375488e-01
-3.384467959403991699e-01,-6.236872673034667969e-01,-1.000000000000000000e+00,6.919884681701660156e-01,-1.962054520845413208e-02,2.324931323528289795e-02,-2.339534610509872437e-01,8.043813109397888184e-01,-3.756445050239562988e-01
-3.222905099391937256e-01,-4.828965067863464355e-01,-9.930706620216369629e-01,7.308080792427062988e-01,3.910406306385993958e-02,9.611632674932479858e-03,-1.956860423088073730e-01,8.296756148338317871e-01,-2.552970945835113525e-01
-4.586566090583801270e-01,-5.486075282096862793e-01,-8.579472303390502930e-01,8.478872179985046387e-01,2.580108866095542908e-02,4.565141350030899048e-02,-2.624716758728027344e-01,7.361119389533996582e-01,-2.661875784397125244e-01
-5.026509165763854980e-01,-5.235106945037841797e-01,-9.846268296241760254e-01,9.902056455612182617e-01,1.716643124818801880e-01,1.050999313592910767e-01,-2.516427636146545410e-01,6.789702177047729492e-01,-1.720490753650665283e-01
-4.472315609455108643e-01,-6.247255802154541016e-01,-8.613486886024475098e-01,1.000000000000000000e+00,3.066042661666870117e-01,1.728157848119735718e-01,-2.176181972026824951e-01,6.544431447982788086e-01,-4.223053157329559326e-02
-3.374123871326446533e-01,-7.611600160598754883e-01,-1.000000000000000000e+00,9.629390239715576172e-01,3.997702598571777344e-01,3.189986348152160645e-01,-3.224931359291076660e-01,6.826823353767395020e-01,-7.796327769756317139e-02
-1.964380741119384766e-01,-6.585243344306945801e-01,-8.985013961791992188e-01,9.535470008850097656e-01,3.742161095142364502e-01,2.510207593441009521e-01,-4.555804729461669922e-01,7.920990586280822754e-01,1.590702682733535767e-02
-4.652276635169982910e-02,-5.095332860946655273e-01,-8.818718791007995605e-01,1.000000000000000000e+00,5.076458454132080078e-01,3.559149801731109619e-01,-5.313760638236999512e-01,7.772622704505920410e-01,-9.534514695405960083e-02
8.969254791736602783e-02,-4.776808917522430420e-01,-9.632790088653564453e-01,1.000000000000000000e+00,5.430843234062194824e-01,3.133637905120849609e-01,-6.473087668418884277e-01,8.287342190742492676e-01,-8.925283700227737427e-02
1.713880598545074463e-01,-4.716318547725677490e-01,-8.576245307922363281e-01,1.000000000000000000e+00,5.613657236099243164e-01,4.263598620891571045e-01,-6.762639284133911133e-01,7.189387679100036621e-01,-2.306180298328399658e-01
2.479292452335357666e-01,-4.355389773845672607e-01,-7.964006066322326660e-01,9.138892292976379395e-01,4.522771835327148438e-01,2.807232737541198730e-01,-7.210876345634460449e-01,7.459141016006469727e-01,-2.629448175430297852e-01
2.291717231273651123e-01,-3.142913579940795898e-01,-8.419239521026611328e-01,9.180860519409179688e-01,5.373730659484863281e-01,2.496861070394515991e-01,-6.844615936279296875e-01,8.546231985092163086e-01,-1.280886232852935791e-01
1.232937648892402649e-01,-1.863150745630264282e-01,-8.442890644073486328e-01,8.455593585968017578e-01,5.251138210296630859e-01,3.936958909034729004e-01,-6.866761445999145508e-01,8.032487034797668457e-01,-8.806836605072021484e-02
4.533745348453521729e-02,-3.135560750961303711e-01,-9.556251764297485352e-01,7.339730858802795410e-01,4.206846356391906738e-01,2.853440344333648682e-01,-6.444137096405029297e-01,7.078127264976501465e-01,-1.343681812286376953e-01
1.643739789724349976e-01,-3.213675916194915771e-01,-9.053578376770019531e-01,6.356690526008605957e-01,3.283713459968566895e-01,1.476046144962310791e-01,-7.437331676483154297e-01,6.413898468017578125e-01,-2.312650382518768311e-01
4.098474234342575073e-02,-4.351768195629119873e-01,-9.171242117881774902e-01,5.475691556930541992e-01,2.876523137092590332e-01,1.486297994852066040e-01,-6.866146922111511230e-01,5.031834840774536133e-01,-1.414419114589691162e-01
7.935485988855361938e-02,-5.606490969657897949e-01,-8.050506114959716797e-01,6.738308668136596680e-01,1.559756994247436523e-01,8.169309049844741821e-02,-5.947543382644653320e-01,5.776613950729370117e-01,-2.360856086015701294e-01
-7.840342819690704346e-03,-5.995074510574340820e-01,-8.096936941146850586e-01,7.093073129653930664e-01,1.166497915983200073e-01,7.045350223779678345e-02,-5.205130577087402344e-01,4.386663436889648438e-01,-3.103545308113098145e-01
5.616453289985656738e-02,-4.809454083442687988e-01,-8.061904907226562500e-01,7.189413309097290039e-01,-1.198604702949523926e-03,5.467721074819564819e-02,-5.107278823852539062e-01,3.614074885845184326e-01,-3.795815706253051758e-01
1.934978365898132324e-02,-6.249240636825561523e-01,-8.595667481422424316e-01,6.323757171630859375e-01,-5.294939875602722168e-02,-5.939415097236633301e-02,-3.935697078704833984e-01,3.894852399826049805e-01,-3.258508741855621338e-01
1.061011552810668945e-01,-6.253914237022399902e-01,-9.834906458854675293e-01,6.435076594352722168e-01,-2.689706347882747650e-02,1.423769444227218628e-02,-4.140718579292297363e-01,2.777593135833740234e-01,-3.907181024551391602e-01
6.502584367990493774e-02,-5.816162824630737305e-01,-9.622571468353271484e-01,6.003366708755493164e-01,1.190575137734413147e-01,4.597014188766479492e-02,-4.929038286209106445e-01,1.582940518856048584e-01,-4.948603510856628418e-01
-1.118683815002441406e-02,-6.834118962287902832e-01,-1.000000000000000000e+00,5.358652472496032715e-01,2.106959372758865356e-02,1.649997681379318237e-01,-6.188337206840515137e-01,1.656474620103836060e-01,-5.217413306236267090e-01
1.335267424583435059e-01,-7.998002171516418457e-01,-1.000000000000000000e+00,6.767063736915588379e-01,1.307217329740524292e-01,2.601214051246643066e-01,-6.914628744125366211e-01,6.691373884677886963e-02,-4.711483716964721680e-01
2.623395323753356934e-01,-7.827713489532470703e-01,-9.785162210464477539e-01,6.107001304626464844e-01,2.115696072578430176e-01,1.662345230579376221e-01,-7.443590760231018066e-01,4.454467073082923889e-02,-4.688652455806732178e-01
1.850624531507492065e-01,-8.983203172683715820e-01,-9.453302025794982910e-01,5.472893118858337402e-01,2.359410673379898071e-01,6.254334002733230591e-02,-7.500170469284057617e-01,5.432150140404701233e-02,-6.033182144165039062e-01
1.360437273979187012e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,6.942774057388305664e-01,1.826472282409667969e-01,1.555056720972061157e-01,-8.236248493194580078e-01,1.087723225355148315e-01,-5.252498388290405273e-01
1.647353470325469971e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,6.489378809928894043e-01,3.115059733390808105e-01,2.546914815902709961e-01,-6.841167807579040527e-01,-3.938511013984680176e-03,-4.559895992279052734e-01
2.962374687194824219e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,7.212740778923034668e-01,3.338479101657867432e-01,3.572401106357574463e-01,-7.921850681304931641e-01,8.464168012142181396e-02,-5.455014109611511230e-01
1.953342556953430176e-01,-1.000000000000000000e+00,-9.056276082992553711e-01,7.708332538604736328e-01,3.407675325870513916e-01,3.148892521858215332e-01,-6.790249347686767578e-01,5.237521231174468994e-02,-4.505215883255004883e-01
1.770747303962707520e-01,-1.000000000000000000e+00,-9.168236851692199707e-01,7.112466096878051758e-01,4.150503575801849365e-01,3.157053589820861816e-01,-7.593611478805541992e-01,1.722475886344909668e-01,-4.853542149066925049e-01
1.901405900716781616e-01,-8.780583739280700684e-01,-8.795523047447204590e-01,5.963160395622253418e-01,5.469999909400939941e-01,3.540177643299102783e-01,-8.088894486427307129e-01,6.402920931577682495e-02,-3.971466422080993652e-01
2.261624187231063843e-01,-8.680200576782226562e-01,-7.613845467567443848e-01,6.828951835632324219e-01,4.425024390220642090e-01,2.975343763828277588e-01,-8.843427300453186035e-01,1.372130960226058960e-01,-5.370869040489196777e-01
2.471293210983276367e-01,-7.892824411392211914e-01,-6.483548879623413086e-01,6.355196833610534668e-01,5.388796329498291016e-01,1.807239055633544922e-01,-7.804070711135864258e-01,2.545969188213348389e-02,-5.679007172584533691e-01
3.363179266452789307e-01,-8.943071961402893066e-01,-7.295794486999511719e-01,7.021954655647277832e-01,6.048905849456787109e-01,2.230681926012039185e-01,-7.222225666046142578e-01,3.827702626585960388e-02,-6.423609852790832520e-01
2.900267243385314941e-01,-9.898278713226318359e-01,-6.070442795753479004e-01,7.272130250930786133e-01,5.751460194587707520e-01,2.116699367761611938e-01,-5.880375504493713379e-01,-6.571754813194274902e-02,-6.164920330047607422e-01
2.917933166027069092e-01,-9.563915729522705078e-01,-7.516112327575683594e-01,8.388502001762390137e-01,7.047815322875976562e-01,2.312098890542984009e-01,-5.290423035621643066e-01,6.103226542472839355e-02,-5.543204545974731445e-01
1.875550299882888794e-01,-9.335050582885742188e-01,-7.195967435836791992e-01,8.160893917083740234e-01,7.757148146629333496e-01,3.615199923515319824e-01,-4.013717472553253174e-01,4.628407582640647888e-02,-6.703490614891052246e-01
3.330073952674865723e-01,-8.318356275558471680e-01,-8.321979641914367676e-01,9.423419237136840820e-01,8.866837024688720703e-01,3.671714067459106445e-01,-3.739891052246093750e-01,1.598488725721836090e-02,-8.039205670356750488e-01
2.835665643215179443e-01,-7.409796118736267090e-01,-9.808083772659301758e-01,8.923916816711425781e-01,8.561342954635620117e-01,3.783900737762451172e-01,-2.480324208736419678e-01,-3.011131472885608673e-02,-8.498346209526062012e-01
3.548169434070587158e-01,-7.553142309188842773e-01,-1.000000000000000000e+00,8.781235218048095703e-01,7.483913898468017578e-01,2.813061773777008057e-01,-2.485220879316329956e-01,-5.443368107080459595e-02,-7.253808379173278809e-01
3.135351240634918213e-01,-7.311377525329589844e-01,-9.603207111358642578e-01,7.320518493652343750e-01,7.974526286125183105e-01,1.847169697284698486e-01,-1.102009862661361694e-01,-1.598348617553710938e-01,-7.509936094284057617e-01
1.891400218009948730e-01,-5.820754766464233398e-01,-9.596621990203857422e-01,7.606673240661621094e-01,6.675755977630615234e-01,2.597051262855529785e-01,-1.972293108701705933e-01,-4.041857272386550903e-02,-8.394517302513122559e-01
9.634634107351303101e-02,-7.211105823516845703e-01,-9.680421352386474609e-01,7.801196575164794922e-01,5.372881889343261719e-01,3.423634171485900879e-01,-2.112426608800888062e-01,-3.310149163007736206e-02,-8.572229146957397461e-01
6.657525897026062012e-02,-7.032184600830078125e-01,-1.000000000000000000e+00,6.846981048583984375e-01,6.458238959312438965e-01,4.761980772018432617e-01,-2.492498606443405151e-01,-1.018780916929244995e-01,-8.140230774879455566e-01
3.919550776481628418e-02,-8.456025719642639160e-01,-1.000000000000000000e+00,7.494897842407226562e-01,6.935010552406311035e-01,3.343268632888793945e-01,-3.326582014560699463e-01,-1.825556457042694092e-01,-7.624552249908447266e-01
-1.048913300037384033e-01,-9.643700122833251953e-01,-9.100251793861389160e-01,6.530531644821166992e-01,7.393248677253723145e-01,2.557817101478576660e-01,-4.528257846832275391e-01,-2.596039772033691406e-01,-6.957751512527465820e-01
1.817613840103149414e-03,-8.653040528297424316e-01,-9.408701062202453613e-01,7.034786939620971680e-01,6.508201360702514648e-01,1.937260329723358154e-01,-3.339250385761260986e-01,-4.057033956050872803e-01,-8.201225996017456055e-01
-8.581651002168655396e-02,-1.000000000000000000e+00,-1.000000000000000000e+00,7.283911705017089844e-01,6.272475123405456543e-01,3.115275502204895020e-01,-2.386919707059860229e-01,-4.531581997871398926e-01,-8.922955989837646484e-01
-1.219087839126586914e-01,-9.729115366935729980e-01,-1.000000000000000000e+00,7.656358480453491211e-01,6.000710129737854004e-01,3.271417021751403809e-01,-2.578540146350860596e-01,-5.148184895515441895e-01,-7.577595710754394531e-01
-4.282704740762710571e-02,-1.000000000000000000e+00,-8.894596099853515625e-01,7.618651986122131348e-01,7.184366583824157715e-01,4.170982837677001953e-01,-2.802899479866027832e-01,-6.580777168273925781e-01,-8.271563649177551270e-01
-3.033678233623504639e-02,-9.599565267562866211e-01,-9.620932936668395996e-01,6.536720395088195801e-01,8.189157247543334961e-01,5.624189376831054688e-01,-2.725828886032104492e-01,-7.565739154815673828e-01,-8.954641819000244141e-01
-1.748195737600326538e-01,-8.356668949127197266e-01,-1.000000000000000000e+00,6.766269803047180176e-01,7.511323094367980957e-01,5.786723494529724121e-01,-2.271567732095718384e-01,-6.576513648033142090e-01,-9.835377931594848633e-01
-3.215208053588867188e-01,-9.446011781692504883e-01,-8.799943923950195312e-01,7.887939810752868652e-01,7.803562283515930176e-01,6.088274121284484863e-01,-1.776457726955413818e-01,-7.550399899482727051e-01,-8.592141866683959961e-01
-3.458896577358245850e-01,-9.796596169471740723e-01,-8.743190765380859375e-01,6.528837680816650391e-01,6.802412271499633789e-01,6.802374720573425293e-01,-3.028061687946319580e-01,-7.240943312644958496e-01,-9.356094598770141602e-01
-3.791009783744812012e-01,-1.000000000000000000e+00,-9.176172614097595215e-01,7.185975313186645508e-01,6.193777322769165039e-01,7.001588344573974609e-01,-3.099910616874694824e-01,-6.749929785728454590e-01,-8.045605421066284180e-01
-3.093293309211730957e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,6.472767591476440430e-01,6.479011178016662598e-01,5.655865669250488281e-01,-3.110812008380889893e-01,-6.459401249885559082e-01,-8.542873859405517578e-01
-2.280556708574295044e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,7.157334089279174805e-01,6.465485095977783203e-01,6.221072673797607422e-01,-3.306329846382141113e-01,-7.220194935798645020e-01,-7.585567235946655273e-01
-1.382309049367904663e-01,-9.415910840034484863e-01,-1.000000000000000000e+00,7.428026199340820312e-01,6.048406958580017090e-01,4.995818734169006348e-01,-2.054389119148254395e-01,-8.309739232063293457e-01,-6.234855055809020996e-01
-1.544291675090789795e-01,-1.000000000000000000e+00,-9.874297380447387695e-01,8.546863794326782227e-01,6.745081543922424316e-01,5.915502309799194336e-01,-1.578038930892944336e-01,-7.732909321784973145e-01,-5.187268257141113281e-01
-2.295287549495697021e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,8.077259659767150879e-01,4.533782601356506348e-01,-9.613133966922760010e-02,-6.457164287567138672e-01,-6.145542263984680176e-01
-2.091451883316040039e-01,-8.753535151481628418e-01,-1.000000000000000000e+00,1.000000000000000000e+00,7.469306588172912598e-01,5.806971192359924316e-01,4.518613219261169434e-02,-5.124365091323852539e-01,-6.222899556159973145e-01
-1.005323901772499084e-01,-7.719886898994445801e-01,-1.000000000000000000e+00,1.000000000000000000e+00,6.080329418182373047e-01,6.095780730247497559e-01,-3.581121563911437988e-02,-6.262664198875427246e-01,-7.492039799690246582e-01
-4.164575785398483276e-02,-8.200262188911437988e-01,-9.325699806213378906e-01,8.696069121360778809e-01,5.526200532913208008e-01,6.214254498481750488e-01,5.140573531389236450e-02,-6.806406974792480469e-01,-7.114365696907043457e-01
7.414756715297698975e-02,-7.852672338485717773e-01,-1.000000000000000000e+00,7.269271612167358398e-01,6.636497378349304199e-01,4.778062701225280762e-01,1.638162434101104736e-01,-6.719595789909362793e-01,-5.797162652015686035e-01
1.637825369834899902e-01,-6.358870267868041992e-01,-1.000000000000000000e+00,8.070836663246154785e-01,6.342290043830871582e-01,4.717689454555511475e-01,2.020678818225860596e-01,-5.598564147949218750e-01,-4.344912171363830566e-01
2.442645579576492310e-01,-6.605569720268249512e-01,-1.000000000000000000e+00,8.783583641052246094e-01,5.558621287345886230e-01,3.549111783504486084e-01,1.584545373916625977e-01,-6.236847043037414551e-01,-4.955987930297851562e-01
1.643468737602233887e-01,-7.979290485382080078e-01,-1.000000000000000000e+00,1.000000000000000000e+00,5.341940522193908691e-01,3.202091753482818604e-01,2.123487293720245361e-01,-7.082085609436035156e-01,-3.606104254722595215e-01
2.502503693103790283e-01,-9.211057424545288086e-01,-1.000000000000000000e+00,1.000000000000000000e+00,6.676136255264282227e-01,3.104296326637268066e-01,2.463721483945846558e-01,-8.080983757972717285e-01,-2.132598310708999634e-01
1.697518825531005859e-01,-7.882862091064453125e-01,-9.551060199737548828e-01,1.000000000000000000e+00,6.714201569557189941e-01,2.296305745840072632e-01,1.493305563926696777e-01,-8.919525146484375000e-01,-3.073283433914184570e-01
2.536272406578063965e-01,-8.332486152648925781e-01,-1.000000000000000000e+00,1.000000000000000000e+00,7.865559458732604980e-01,3.579562604427337646e-01,2.978029251098632812e-01,-9.897839426994323730e-01,-3.384557366371154785e-01
